last_name; first_name;player_id;year;b_ab;b_home_run;b_strikeout;b_sac_fly;b_reached_on_error;sprint_speed;BIP;a_ROE
Altuve; Jose;514888;2020;192;5;39;0;3;28.4;148;0.02027027
Hernandez; Cesar;514917;2020;233;3;57;0;1;28.5;173;0.005780347
Segura; Jean;516416;2020;192;7;45;0;2;28.3;140;0.014285714
Marte; Starling;516782;2020;228;6;41;1;4;28.5;182;0.021978022
Freeman; Freddie;518692;2020;214;13;37;0;2;26.4;164;0.012195122
Grandal; Yasmani;518735;2020;161;8;58;2;0;23.5;97;0
LeMahieu; DJ;518934;2020;195;10;21;1;2;26.1;165;0.012121212
Rizzo; Anthony;519203;2020;203;11;38;2;4;24.8;156;0.025641026
Flores; Wilmer;527038;2020;198;12;36;1;1;25.1;151;0.006622517
Garcia; Avisail;541645;2020;181;2;49;0;1;28;130;0.007692308
Ozuna; Marcell;542303;2020;228;18;60;1;0;27.1;151;0
Villar; Jonathan;542340;2020;185;2;54;2;4;27.1;131;0.030534351
Aguilar; Jesus;542583;2020;188;8;40;4;1;24.5;144;0.006944444
Crawford; Brandon;543063;2020;172;8;47;2;1;25.7;119;0.008403361
Grossman; Robbie;543257;2020;166;8;38;0;2;27.5;120;0.016666667
Hicks; Aaron;543305;2020;169;6;38;0;1;27.5;125;0.008
Rendon; Anthony;543685;2020;189;9;31;0;1;26.4;149;0.006711409
Semien; Marcus;543760;2020;211;7;50;0;1;28.1;154;0.006493506
Springer III; George;543807;2020;189;14;38;2;3;28.2;139;0.021582734
Vazquez; Christian;543877;2020;173;7;43;0;1;25;123;0.008130081
Wong; Kolten;543939;2020;181;1;30;1;0;26.7;151;0
Gregorius; Didi;544369;2020;215;10;28;2;0;27.1;179;0
Grichuk; Randal;545341;2020;216;12;49;2;2;27.7;157;0.012738854
Trout; Mike;545361;2020;199;17;56;4;2;28.9;130;0.015384615
Ruiz; Rio;547004;2020;185;9;46;1;2;25.2;131;0.015267176
Harper; Bryce;547180;2020;190;13;43;2;1;27.9;136;0.007352941
Abreu; Jose;547989;2020;240;19;59;1;3;26.8;163;0.018404908
Suarez; Eugenio;553993;2020;198;15;67;1;3;25.9;117;0.025641026
Gonzalez; Erik;570481;2020;181;3;51;3;1;27.3;130;0.007692308
Arenado; Nolan;571448;2020;182;8;20;4;1;24.8;158;0.006329114
Muncy; Max;571970;2020;203;12;60;2;0;27.3;133;0
Myers; Wil;571976;2020;198;15;56;0;1;28.3;127;0.007874016
Pollock; AJ;572041;2020;196;16;45;2;1;28.2;137;0.00729927
Seager; Kyle;572122;2020;203;9;33;6;0;25.4;167;0
Voit III; Luke;572228;2020;213;22;54;1;3;24.9;138;0.02173913
Walker; Christian;572233;2020;218;7;50;3;2;26.9;164;0.012195122
Dickerson; Corey;572816;2020;194;7;35;0;3;27;152;0.019736842
Yastrzemski; Mike;573262;2020;192;10;55;0;3;27.5;127;0.023622047
Contreras; Willson;575929;2020;189;7;57;2;1;27.3;127;0.007874016
Canha; Mark;592192;2020;191;5;54;5;2;27.6;137;0.01459854
Castellanos; Nick;592206;2020;218;14;69;1;2;27.7;136;0.014705882
Machado; Manny;592518;2020;224;16;37;4;2;26.4;175;0.011428571
Moran; Colin;592567;2020;178;10;52;1;2;24.2;117;0.017094017
Realmuto; J.T.;592663;2020;173;11;48;0;1;28.2;114;0.00877193
Rosario; Eddie;592696;2020;210;13;34;2;2;26.8;165;0.012121212
Yelich; Christian;592885;2020;200;12;76;0;2;28.1;112;0.017857143
Merrifield; Whit;593160;2020;248;9;33;1;3;28.4;207;0.014492754
Bogaerts; Xander;593428;2020;203;11;41;1;0;27.7;152;0
Alberto; Hanser;593643;2020;219;3;30;2;4;26.8;188;0.021276596
Polanco; Jorge;593871;2020;209;4;35;1;1;27.8;171;0.005847953
Sano; Miguel;593934;2020;186;13;90;0;0;26.5;83;0
Calhoun; Kole;594777;2020;190;16;50;4;2;25.9;128;0.015625
Duvall; Adam;594807;2020;190;16;54;1;3;28;121;0.024793388
Profar; Jurickson;595777;2020;180;7;28;2;1;27;147;0.006802721
Baez; Javier;595879;2020;222;8;75;2;4;27.9;141;0.028368794
Lindor; Francisco;596019;2020;236;8;41;2;1;27.4;189;0.005291005
Story; Trevor;596115;2020;235;11;63;0;2;29;161;0.01242236
Kepler; Max;596146;2020;171;9;36;1;3;28.1;127;0.023622047
Franco; Maikel;596748;2020;223;8;38;4;2;24.6;181;0.011049724
Bradley Jr.; Jackie;598265;2020;191;7;48;1;3;27.3;137;0.02189781
La Stella; Tommy;600303;2020;196;5;12;2;1;25.4;181;0.005524862
Nunez; Renato;600524;2020;195;12;64;1;1;26.6;120;0.008333333
Candelario; Jeimer;600869;2020;185;7;49;0;1;26.9;129;0.007751938
Ahmed; Nick;605113;2020;199;5;46;0;2;28.1;148;0.013513514
Anderson; Brian;605119;2020;200;11;66;1;2;26.4;124;0.016129032
Bell; Josh;605137;2020;195;8;59;4;1;26.2;132;0.007575758
Betts; Mookie;605141;2020;219;16;38;1;6;28.3;166;0.036144578
Davis; J.D.;605204;2020;190;6;56;1;1;27.2;129;0.007751938
Arcia; Orlando;606115;2020;173;5;32;1;1;26.2;137;0.00729927
Tapia; Raimel;606132;2020;184;1;38;3;2;28.2;148;0.013513514
Hernandez; Teoscar;606192;2020;190;16;63;1;2;28.3;112;0.017857143
Marte; Ketel;606466;2020;181;2;21;3;6;27.7;161;0.037267081
Nimmo; Brandon;607043;2020;186;8;43;0;0;28;135;0
Turner; Trea;607208;2020;233;12;36;2;2;30.1;187;0.010695187
Pillar; Kevin;607680;2020;208;6;41;0;2;27.8;161;0.01242236
Ramirez; Jose;608070;2020;219;17;43;1;3;27.2;160;0.01875
Gallo; Joey;608336;2020;193;10;79;0;2;27.1;104;0.019230769
Seager; Corey;608369;2020;212;15;37;2;2;27;162;0.012345679
Mondesi; Adalberto;609275;2020;219;6;70;0;3;29.4;143;0.020979021
Reyes; Franmil;614177;2020;211;9;69;5;1;26.2;138;0.007246377
Swanson; Dansby;621020;2020;237;10;71;1;3;28.5;157;0.01910828
Taylor; Chris;621035;2020;185;8;55;0;3;28.4;122;0.024590164
Correa; Carlos;621043;2020;201;5;49;1;4;27.2;148;0.027027027
Olson; Matt;621566;2020;210;14;77;0;4;25.9;119;0.033613445
Reyes; Victor;622682;2020;202;4;45;0;3;27.9;153;0.019607843
Alonso; Pete;624413;2020;208;16;61;1;0;26.2;132;0
Biggio; Cavan;624415;2020;220;8;61;0;3;27.7;151;0.01986755
